model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.8165304386377498,f1_macro,0.37892866134643555,44.12751388549805,0.0023162364959716797,0.1814718246459961,2,True,5
ExtraTreesEntr,0.8140469579701358,f1_macro,0.10088372230529785,8.261455059051514,0.10088372230529785,8.261455059051514,1,True,4
RandomForestGini,0.8102689354897805,f1_macro,0.08773684501647949,12.594791173934937,0.08773684501647949,12.594791173934937,1,True,1
ExtraTreesGini,0.8101231949844229,f1_macro,0.08887481689453125,9.057261228561401,0.08887481689453125,9.057261228561401,1,True,3
RandomForestEntr,0.8088161599909943,f1_macro,0.09911704063415527,14.0325345993042,0.09911704063415527,14.0325345993042,1,True,2
